Sample Age,Paleocoordinate Age,Paleo-Lat,Paleo-Lon,Lat,Lon,"Temperature,C",Min Temp,Max Temp,Area
136.05,Berriasian-Valanginian,69.6266022,16.4291992,78.322114,15.705792,,-1.6,40,Europe
137.05,Berriasian-Valanginian,71.5783005,-26.3736,76.1,-109,,-1.6,40,North America
137,Berriasian-Valanginian,54.2876015,57.8125,58.7994,59.267,,-1.6,40,Asia
136.1,Berriasian-Valanginian,75.9899979,89.0863037,73.908624,112.103848,,-1.6,40,Asia
137,Berriasian-Valanginian,76.6292038,85.4169998,74.935511,110.881622,,-1.6,40,Asia
136.1,Berriasian-Valanginian,76.4865036,87.5951004,74.518773,112.100341,,-1.6,40,Asia
136.1,Berriasian-Valanginian,76.7373962,88.033699,74.660566,112.968256,,-1.6,40,Asia
136.1,Berriasian-Valanginian,75.979599,88.2337036,74.0181,111.469,,-1.6,40,Asia
137,Berriasian-Valanginian,70.4255981,-6.2093501,80.651944,-84.415556,,-1.6,40,North America
137.05,Berriasian-Valanginian,69.2497025,15.6033001,78,14,,-1.6,40,Europe
137.05,Berriasian-Valanginian,76.5229034,91.6299973,74,115,,-1.6,40,Asia
137.05,Berriasian-Valanginian,75.6308975,101.2429962,72,120,,-1.6,40,Asia
137.05,Berriasian-Valanginian,68.5109024,113.4069977,64,121,,-1.6,40,Asia
137.05,Berriasian-Valanginian,70.7387009,-9.5131102,80,-90,,-1.6,40,North America
137.05,Berriasian-Valanginian,71.3451004,-16.6285,78.5,-100,,-1.6,40,North America
136.15,Berriasian-Valanginian,-30.8654995,17.7052002,-9.683333,39.283333,,20,40,Africa
136.15,Berriasian-Valanginian,-30.8687,17.7656994,-9.666667,39.333332,,20,40,Africa
137.05,Berriasian-Valanginian,22.5391998,-56.0744019,25.466667,-103.583336,,20,40,North America
137.05,Berriasian-Valanginian,22.5501995,-56.0391006,25.483334,-103.550003,,20,40,North America
137.05,Berriasian-Valanginian,24.5280991,25.2593994,42.766666,22.75,,20,40,Europe
136.15,Berriasian-Valanginian,34.3177986,14.4809999,43.233334,5.4,,20,40,Europe
137.05,Berriasian-Valanginian,37.6842003,40.0348015,44.75,34.5,,20,40,Europe
137.05,Berriasian-Valanginian,29.1676006,24.6112003,46.166668,18.25,,20,40,Europe
138.5,Berriasian-Valanginian,33.0149002,20.1804008,46.587776,11.785833,,20,40,Europe
137.05,Berriasian-Valanginian,37.9324989,15.2426996,46.816666,6.5,,20,40,Europe
137.05,Berriasian-Valanginian,38.2373009,15.7880001,47.099998,7.15,,20,40,Europe
137.05,Berriasian-Valanginian,-34.1441994,-32.9422989,-35.224061,-69.715543,25.41818182,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,32.487332,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,33.404288,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,30.529493,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,31.629053,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,30.778288,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,28.708612,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,33.148733,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,30.927877,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,30.628933,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,29.984432,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,26.446925,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,30.977792,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,30.628933,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,31.729637,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,32.234117,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,25.973125,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,25.361072,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,26.971108,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,28.513892,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,26.257093,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,30.5792,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,29.246237,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,28.271077,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,27.450368,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,27.690973,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,27.450368,,,South America
138.5,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,29.393408,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,36.521648,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,30.330925,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,31.428197,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,31.880708,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,26.020388,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,28.854925,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,25.548928,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,25.2673,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,32.639573,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,33.0977,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,31.729637,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,29.246237,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,29.344325,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,25.2673,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,24.520868,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,29.001472,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,29.050373,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,25.925888,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,24.613808,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,26.067677,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,27.306317,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,25.220453,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,30.182272,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,29.393408,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,29.491652,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,29.246237,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,42.257732,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,38.921093,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,36.574397,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,38.383333,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,38.651888,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,34.588213,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,40.222325,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,37.634837,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,44.554757,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,40.113317,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,36.627172,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,34.484717,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,34.847408,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,37.901572,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,41.814628,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,41.318125,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,34.020272,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,46.148573,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,42.202253,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,34.847408,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,35.472128,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,35.367748,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,35.003237,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,34.743652,,,South America
136.15,Berriasian-Valanginian,-36.3469009,-33.2360001,-37.363794,-70.429456,33.711812,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,30.182272,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,31.981552,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,32.893828,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,33.353125,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,33.199792,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,30.927877,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,29.885668,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,29.984432,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,27.210413,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,26.114992,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,22.321508,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,22.5025,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,22.095853,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,23.230628,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,21.870848,,,South America
136.15,Berriasian-Valanginian,-36.9528999,-32.5116005,-38.053201,-69.823575,21.736157,,,South America
138.5,Berriasian-Valanginian,70.7767029,23.2492008,78.912561,28.453386,8.266666667,,,Asia
138.5,Berriasian-Valanginian,29.6945,6.0946298,38.086944,-1.853889,27.2,,,Europe
138.5,Berriasian-Valanginian,45.1063995,9.1535902,54.160555,-0.236111,24.16666667,,,Europe
138.5,Berriasian-Valanginian,59.4422989,50.3586998,64.835149,53.782196,19,,,Europe
138.5,Berriasian-Valanginian,70.841301,81.6495972,70.592611,97.369083,19.2,,,Europe
137,Berriasian-Valanginian,59.6026001,56.3620987,64.130958,60.670617,12.85,,,Asia
135.4741231,Berriasian-Valanginian,27.8537006,-22.8558006,35.5,-70.03333333,35.53091088,,,Atlantic Ocean
135.6183901,Berriasian-Valanginian,27.8537006,-22.8558006,35.5,-70.03333333,36.06831575,,,Atlantic Ocean
135.9031151,Berriasian-Valanginian,27.8537006,-22.8558006,35.5,-70.03333333,35.52732892,,,Atlantic Ocean
